Category,Name,Value,Emoji,Image
gear_stock,Advanced Sprinkler,1,🌊,https://i.postimg.cc/ZKkcQ1nC/image.png
gear_stock,Trowel,1,🛠️,https://i.postimg.cc/43RjNNy7/image.png
gear_stock,Watering Can,1,🚿,https://i.postimg.cc/3JPcnJgS/image.png
gear_stock,Recall Wrench,3,🔧,https://i.postimg.cc/RFBSySkg/image.png
gear_stock,Favorite Tool,2,❤️,https://i.postimg.cc/ZK7qnhNq/image.png
gear_stock,Harvest Tool,1,,https://i.postimg.cc/pVD2DNKm/image.png
egg_stock,Common Egg,1,🥚,https://i.postimg.cc/x81BptYT/image.png
egg_stock,Common Egg,1,🥚,https://i.postimg.cc/x81BptYT/image.png
egg_stock,Common Egg,1,🥚,https://i.postimg.cc/x81BptYT/image.png
seeds_stock,Carrot,24,🥕,https://i.postimg.cc/qv5dVtkL/Carrot.png
seeds_stock,Corn,3,🌽,https://i.postimg.cc/0QG3Qrqh/Corn.png
seeds_stock,Bamboo,14,🎍,https://i.postimg.cc/5NshLHFV/Bamboo.png
seeds_stock,Strawberry,4,🍓,https://i.postimg.cc/FFymdsZr/Strawberry.png
seeds_stock,Tomato,1,🍅,https://i.postimg.cc/MGhxR6ZW/image.png
seeds_stock,Blueberry,1,🫐,https://i.postimg.cc/RV9SXZ7h/image.png
night_stock,Twilight Crate,1,,https://i.postimg.cc/tJ0T5Gwq/image.png
night_stock,Star Caller,1,,https://i.postimg.cc/3wsYMCB9/image.png
honey_stock,Flower Seed Pack,2,,https://i.postimg.cc/kMvysGm1/image.png
honey_stock,Lavender,4,,
honey_stock,Nectarshade,3,,
honey_stock,Nectarine,1,,https://i.postimg.cc/15q8vNGD/image.png
honey_stock,Honey Sprinkler,1,,https://i.postimg.cc/mkKZCR8Q/image.png
honey_stock,Bee Egg,1,,https://i.postimg.cc/jSdqfwSH/image.png
honey_stock,Bee Crate,1,,https://i.postimg.cc/t4hdsc7Z/image.png
honey_stock,Honey Comb,1,,https://i.postimg.cc/XqJxFktM/image.png
honey_stock,Honey Walkway,1,,
cosmetics_stock,Common Gnome Crate,1,,https://i.postimg.cc/DysK3bDw/Common-Gnome-Crate.png
cosmetics_stock,Sign Crate,1,,https://i.postimg.cc/W1W895nF/Sign-Crate.png
cosmetics_stock,Small Circle Tile,5,,https://i.postimg.cc/rwmCtSk8/Small-Circle-Tile.png
cosmetics_stock,Red Pottery,1,,https://i.postimg.cc/sxLfHdvH/Red-Pottery.png
cosmetics_stock,Shovel Grave,1,,https://i.postimg.cc/9Xb7tr1z/Shovel-Grave.png
cosmetics_stock,Dark Stone Pillar,1,,https://i.postimg.cc/XvNM51vr/Dark-Stone-Pillar.png
cosmetics_stock,Small Wood Flooring,4,,https://i.postimg.cc/JnbbWxbQ/Small-Wood-Flooring.png
cosmetics_stock,Wood Fence,1,,https://i.postimg.cc/4xSvvmfp/Wood-Fence.png
cosmetics_stock,Bookshelf,1,,https://i.postimg.cc/KzcWK1JB/Book-Shelf.png
